Week of,Thousand_Barrels
12/25/1998,19450
12/18/1998,19974
12/11/1998,18422
12/4/1998,17206
11/27/1998,18703
11/20/1998,18827
11/13/1998,19601
11/6/1998,17950
10/30/1998,19196
10/23/1998,17954
10/16/1998,17961
10/9/1998,19555
10/2/1998,18539
9/25/1998,18653
9/18/1998,18467
9/11/1998,18909
9/4/1998,18801
8/28/1998,19917
8/21/1998,19532
8/14/1998,19356
8/7/1998,19243
7/31/1998,18598
7/24/1998,18487
7/17/1998,19305
7/10/1998,18272
7/3/1998,19592
6/26/1998,19313
6/19/1998,18696
6/12/1998,18903
6/5/1998,19790
5/29/1998,17939
5/22/1998,17946
5/15/1998,19609
5/8/1998,17793
5/1/1998,17915
4/24/1998,18377
4/17/1998,19102
4/10/1998,18264
4/3/1998,19372
3/27/1998,18287
3/20/1998,17872
3/13/1998,19225
3/6/1998,19252
2/27/1998,17357
2/20/1998,18429
2/13/1998,18977
2/6/1998,17891
1/30/1998,18553
1/23/1998,19251
1/16/1998,18876
1/9/1998,17977
